HEALTH_CENTER,HEALTH_CENTER_CODE,ADDRESS,STREET_NAME,SUFX,CITY,STATE,ZIPCODE,PHONE,CARE_TYPE,MONDAY_OPEN,MONDAY_CLOSE,TUESDAY_OPEN,TUESDAY_CLOSE,WEDNESDAY_OPEN,WEDNESDAY_CLOSE,THURSDAY_OPEN,THURSDAY_CLOSE,FRIDAY_OPEN,FRIDAY_CLOSE,SPECIAL_HOURS_NOTES,SERVICES_PROVIDED,CENTER_DESCRIPTION,INSURANCE_ACCEPTED,TITLE_X_SERVICES,NEIGHBORHOOD,LATITUDE,LONGITUDE,ADULT,PEDIATRICS,OB,NURSING_SERVICES,LAB,IMMUNIZATIONS,OUTREACH_ENROLLMENT_SERVICES,GYN,STI_TESTING,PHARMACY,DIABETIC_EDUCATION,WIC,BEHAVIORAL_HEALTH,SAFE_PLACE,AVERAGE_MEDICAL_COST,ADMISSION_FEE,AVERAGE_LAB_FEE
Crest Smile Shoppe,CCPC CREST SMILE,612 ROCKDALE AV,ROCKDALE,AV,CINCINNATI,OH,45229,513-352-4072,DENTAL,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,1:30 PM,,"Adults and children dental services (cleanings, fillings, extractions and dentures)","Community Health Center Dental sites provide comprehensive general dental services. They also accept walk-in emergencies most morning at 7:00am, call for details","We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,AVONDALE,39.14491647,-84.49462344,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,2100,120,250
The Children's Home dba Levine Family Health Center,CCPC CHILDREN'S HOME,5051 DUCK CREEK RD,DUCK CREEK,RD,CINCINNATI,OH,45227,513-527-7300,SCHOOL & ADOLESCENT HEALTH,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,9:00 AM,5:00 PM,9:00 AM,5:00 PM,Open year round.  Open to students and community.,"Adult medicine, Pediatrics, Immunizations, Lab, STI Testing, Outreach and enrollment assistance; SBHC",School Based Health Centers are full service Cincinnati Health Department clinics located in Cincinnati Public Schools. These clinics serve the medical needs of children and families in the school and community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,MADISONVILLE,39.16406404,-84.4089381,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,1500,130,700
Northside Health Center,CCPC NORTHSIDE,3917 SPRING GROVE AV,SPRING GROVE,AV,CINCINNATI,OH,45223,513-357-7600,MEDICAL,8:00 AM,5:00 PM,10:00 AM,7:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,"First Tuesday of each month, 9 AM - 6 PM","Adult medicine, Pediatrics, OB/GYN (incl. Title X), Nursing Services, Pharmacy, Diabetic Education, Dental, Immunizations, WIC, Behavioral Health, Lab, Outreach and enrollment assistance",This site is a Federally Qualified Health Center in the Cincinnati Health Department network of Health Centers. These health centers serve the medical needs of children and families in the community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",Yes,NORTHSIDE,39.15743719,-84.54062924,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,780,140,400
John P. Parker Health Center,CCPC JOHN P PARKER,5051 ANDERSON PL,ANDERSON,PL,CINCINNATI,OH,45227,513-363-2921,SCHOOL & ADOLESCENT HEALTH,,,,,8:00 AM,2:30 PM,,,,,CLOSED FOR SUMMER - Please contact 357-2815 for an appointment,"Pediatrics, GYN, STI Testing, Nursing Services, Immunizations, Outreach and enrollment services",School Based Health Centers are full service Cincinnati Health Department clinics located in Cincinnati Public Schools. These clinics serve the medical needs of children and families in the school and community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,MADISONVILLE,39.16303474,-84.40037674,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,1300,200,500
Aiken High School Health Center,CCPC AIKEN SBHC,5641 BELMONT AV,BELMONT,AV,CINCINNATI,OH,45224,513-363-6758,SCHOOL & ADOLESCENT HEALTH,7:30 AM,4:00 PM,7:30 AM,4:00 PM,7:30 AM,4:00 PM,7:30 AM,4:00 PM,7:30 AM,4:00 PM,CLOSED FOR SUMMER - Please contact 357-2815 for an appointment,"Pediatrics, GYN, STI Testing, Nursing Services, Immunizations, Outreach and enrollment services",School Based Health Centers are full service Cincinnati Health Department clinics located in Cincinnati Public Schools. These clinics serve the medical needs of children and families in the school and community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,COLLEGE HILL,39.19234908,-84.5502822,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,2000,300,600
Withrow University High School Health Center: Dental,CCPC WITHROW DENTAL,2520 MADISON RD,MADISON,RD,CINCINNATI,OH,45208,513-363-9110,SCHOOL & ADOLESCENT HEALTH: DENTAL,8:00 AM,2:00 PM,8:00 AM,2:00 PM,8:00 AM,2:00 PM,8:00 AM,2:00 PM,8:00 AM,2:00 PM,,Dental Service,School Based Health Centers are full service Cincinnati Health Department clinics located in Cincinnati Public Schools. These clinics serve the medical needs of children and families in the school and community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,HYDE PARK,39.14133639,-84.45114438,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,2100,160,300
Oyler Vision Center,CCPC OYLER VISION CTR,2121 HATMAKER ST,HATMAKER,ST,CINCINNATI,OH,45204,513-363-4195,VISION,7:45 AM,4:00 PM,7:45 AM,4:00 PM,7:45 AM,4:00 PM,7:45 AM,4:00 PM,7:45 AM,4:00 PM,CLOSED FOR SUMMER,Vision Services,School Based Health Centers are full service Cincinnati Health Department clinics located in Cincinnati Public Schools. These clinics serve the medical needs of children and families in the school and community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,LOWER PRICE HILL,39.104064,-84.55177886,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,2300,170,250
Western Hills & Dater High School Health Center: Dental,CCPC WESTERN HILLS DE,2146 FERGUSON RD,FERGUSON,RD,CINCINNATI,OH,45238,513-363-8706,SCHOOL & ADOLESCENT HEALTH: DENTAL,8:00 AM,2:00 PM,8:00 AM,2:00 PM,8:00 AM,2:00 PM,8:00 AM,2:00 PM,8:00 AM,2:00 PM,,Dental Service,School Based Health Centers are full service Cincinnati Health Department clinics located in Cincinnati Public Schools. These clinics serve the medical needs of children and families in the school and community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,WEST PRICE HILL,39.12475463,-84.59873431,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,4000,135,422
Price Hill Health Center: Dental,CCPC PRICE HILL DENTA,2136 W 8TH ST,W 8TH,ST,CINCINNATI,OH,45204,513-357-2704,DENTAL,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,1:30 PM,,"Adults and children dental services (cleanings, fillings, extractions and dentures)","Community Health Center Dental sites provide comprehensive general dental services. They also accept walk-in emergencies most morning at 7:00am, call for details","We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,LOWER PRICE HILL,39.10564508,-84.55243529,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,4030,125,346
Oyler Dental Health Center,CCPC OYLER DENTAL,2121 HATMAKER ST,HATMAKER,ST,CINCINNATI,OH,45204,513-363-4182,SCHOOL & ADOLESCENT HEALTH: DENTAL,7:45 AM,2:15 PM,7:45 AM,2:15 PM,7:45 AM,2:15 PM,7:45 AM,2:15 PM,7:45 AM,2:15 PM,,"Children dental services (cleanings, fillings, extractions)",School Based Health Centers are full service Cincinnati Health Department clinics located in Cincinnati Public Schools. These clinics serve the medical needs of children and families in the school and community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,LOWER PRICE HILL,39.104064,-84.55177886,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2010,150,450
